"","SceneImage","Object","Basic","Superordinate","Supersuperordinate","a","A","b","B","c","C","d","D","e","E","f","F","g","G","h","H","i","I","j","J","k","K","l","L","m","M","n","N","o","O","p","P","q","Q","r","R","s","S","t","T","u","U","v","V","w","W","x","X"
"23","citycenter26.jpg","Sculpture","City Center","Human","Outdoors","Sculpture","consistent.Consistent.No.100","Lifeguard Tower","basic.Inconsistent.Yes.150","Baking Tray","super.Inconsistent.Yes.150","Sculpture","consistent.Consistent.Yes.150","Sculpture","consistent.Consistent.Yes.150","Feeding Trough","basic.Inconsistent.No.150","Fire Extinguisher","super.Inconsistent.No.150","Sculpture","consistent.Consistent.No.150","Sculpture","consistent.Consistent.No.150","Wild Berries","basic.Inconsistent.Yes.50","Toothpaste","super.Inconsistent.Yes.50","Sculpture","consistent.Consistent.Yes.50","Sculpture","consistent.Consistent.Yes.50","Lifeguard Tower","basic.Inconsistent.No.50","Stapler","super.Inconsistent.No.50","Sculpture","consistent.Consistent.No.50","Sculpture","consistent.Consistent.No.50","Pitchfork","basic.Inconsistent.Yes.100","Shower Head","super.Inconsistent.Yes.100","Sculpture","consistent.Consistent.Yes.100","Sculpture","consistent.Consistent.Yes.100","Trash Bags","basic.Inconsistent.No.100","Fire Alarm","super.Inconsistent.No.100","Sculpture","consistent.Consistent.No.100"
"28","class9.jpg","Crayons","Classroom","Public","Indoors","Crayons","consistent.Consistent.No.100","Printer","basic.Inconsistent.Yes.150","Soccer Ball","super.Inconsistent.Yes.150","Crayons","consistent.Consistent.Yes.150","Crayons","consistent.Consistent.Yes.150","Candle","basic.Inconsistent.No.150","Fork","basic.Inconsistent.No.150","Crayons","consistent.Consistent.No.150","Crayons","consistent.Consistent.No.150","Dresser","basic.Inconsistent.Yes.50","Telephone Booth","super.Inconsistent.Yes.50","Crayons","consistent.Consistent.Yes.50","Crayons","consistent.Consistent.Yes.50","Ottoman","basic.Inconsistent.No.50","Wildflower","super.Inconsistent.No.50","Crayons","consistent.Consistent.No.50","Crayons","consistent.Consistent.No.50","Printer","basic.Inconsistent.Yes.100","Tape Dispenser","basic.Inconsistent.Yes.100","Crayons","consistent.Consistent.Yes.100","Crayons","consistent.Consistent.Yes.100","Ottoman","basic.Inconsistent.No.100","Seesaw","super.Inconsistent.No.100","Crayons","consistent.Consistent.No.100"
"26","class6.jpg","Textbook","Classroom","Public","Indoors","Textbook","consistent.Consistent.No.100","Pan","basic.Inconsistent.Yes.150","Billboard","super.Inconsistent.Yes.150","Textbook","consistent.Consistent.Yes.150","Textbook","consistent.Consistent.Yes.150","Toilet Paper","basic.Inconsistent.No.150","Wildflower","super.Inconsistent.No.150","Textbook","consistent.Consistent.No.150","Textbook","consistent.Consistent.No.150","Plunger","basic.Inconsistent.Yes.50","Lawn Mower","super.Inconsistent.Yes.50","Textbook","consistent.Consistent.Yes.50","Textbook","consistent.Consistent.Yes.50","Toilet Paper","basic.Inconsistent.No.50","Camping Tent","super.Inconsistent.No.50","Textbook","consistent.Consistent.No.50","Textbook","consistent.Consistent.No.50","TV Remote","basic.Inconsistent.Yes.100","Wildflower","super.Inconsistent.Yes.100","Textbook","consistent.Consistent.Yes.100","Textbook","consistent.Consistent.Yes.100","Teddy Bear","basic.Inconsistent.No.100","Toilet Paper","basic.Inconsistent.No.100","Textbook","consistent.Consistent.No.100"
"84","natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","Fishing Rod","consistent.Consistent.No.100","Feeding Trough","basic.Inconsistent.Yes.150","Plate","super.Inconsistent.Yes.150","Fishing Rod","consistent.Consistent.Yes.150","Fishing Rod","consistent.Consistent.Yes.150","Lifeguard Tower","basic.Inconsistent.No.150","Vase","super.Inconsistent.No.150","Fishing Rod","consistent.Consistent.No.150","Fishing Rod","consistent.Consistent.No.150","Beach Towel","basic.Inconsistent.Yes.50","Fire Extinguisher","super.Inconsistent.Yes.50","Fishing Rod","consistent.Consistent.Yes.50","Fishing Rod","consistent.Consistent.Yes.50","Bird Bath","basic.Inconsistent.No.50","Comforter Blanket","super.Inconsistent.No.50","Fishing Rod","consistent.Consistent.No.50","Fishing Rod","consistent.Consistent.No.50","Crosswalk","basic.Inconsistent.Yes.100","Backpack","super.Inconsistent.Yes.100","Fishing Rod","consistent.Consistent.Yes.100","Fishing Rod","consistent.Consistent.Yes.100","Horse Carriage","basic.Inconsistent.No.100","Picture Frame","super.Inconsistent.No.100","Fishing Rod","consistent.Consistent.No.100"
"119","urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","Crosswalk Signal","consistent.Consistent.No.100","Sandbox","basic.Inconsistent.Yes.150","Pan","super.Inconsistent.Yes.150","Crosswalk Signal","consistent.Consistent.Yes.150","Crosswalk Signal","consistent.Consistent.Yes.150","Historic Plaque","basic.Inconsistent.No.150","Bowl","super.Inconsistent.No.150","Crosswalk Signal","consistent.Consistent.No.150","Crosswalk Signal","consistent.Consistent.No.150","Hay Bale","basic.Inconsistent.Yes.50","Notebook","super.Inconsistent.Yes.50","Crosswalk Signal","consistent.Consistent.Yes.50","Crosswalk Signal","consistent.Consistent.Yes.50","Log Cabin","basic.Inconsistent.No.50","Picture Frame","super.Inconsistent.No.50","Crosswalk Signal","consistent.Consistent.No.50","Crosswalk Signal","consistent.Consistent.No.50","Trash Bags","basic.Inconsistent.Yes.100","Fork","super.Inconsistent.Yes.100","Crosswalk Signal","consistent.Consistent.Yes.100","Crosswalk Signal","consistent.Consistent.Yes.100","Crosswalk","basic.Inconsistent.No.100","Knife","super.Inconsistent.No.100","Crosswalk Signal","consistent.Consistent.No.100"
"12","bell.jpg","Coffee Maker","Living Room","Private","Indoors","Oven Mitts","basic.Inconsistent.Yes.150","Hay Bale","super.Inconsistent.Yes.150","Coffee Maker","consistent.Consistent.Yes.150","Coffee Maker","consistent.Consistent.Yes.150","Crayons","basic.Inconsistent.No.150","Scarecrow","super.Inconsistent.No.150","Coffee Maker","consistent.Consistent.No.150","Coffee Maker","consistent.Consistent.No.150","Razor","basic.Inconsistent.Yes.50","Historic Plaque","super.Inconsistent.Yes.50","Coffee Maker","consistent.Consistent.Yes.50","Coffee Maker","consistent.Consistent.Yes.50","Textbook","basic.Inconsistent.No.50","Lighthouse","super.Inconsistent.No.50","Coffee Maker","consistent.Consistent.No.50","Coffee Maker","consistent.Consistent.No.50","Spoon","basic.Inconsistent.Yes.100","Horse Carriage","super.Inconsistent.Yes.100","Coffee Maker","consistent.Consistent.Yes.100","Coffee Maker","consistent.Consistent.Yes.100","Paper Shredder","basic.Inconsistent.No.100","Newspaper Box","super.Inconsistent.No.100","Coffee Maker","consistent.Consistent.No.100","Coffee Maker","consistent.Consistent.No.100"
"90","office1.jpg","Pencil Holder","Office","Public","Indoors","Soap Bar","basic.Inconsistent.Yes.150","Telephone Booth","super.Inconsistent.Yes.150","Pencil Holder","consistent.Consistent.Yes.150","Pencil Holder","consistent.Consistent.Yes.150","Toaster","basic.Inconsistent.No.150","Subway Station Sign","super.Inconsistent.No.150","Pencil Holder","consistent.Consistent.No.150","Pencil Holder","consistent.Consistent.No.150","Dresser","basic.Inconsistent.Yes.50","Log Cabin","super.Inconsistent.Yes.50","Pencil Holder","consistent.Consistent.Yes.50","Pencil Holder","consistent.Consistent.Yes.50","Stop Sign","super.Inconsistent.No.50","Hay Bale","super.Inconsistent.No.50","Pencil Holder","consistent.Consistent.No.50","Pencil Holder","consistent.Consistent.No.50","Textbook","basic.Inconsistent.Yes.100","Road Work Sign","super.Inconsistent.Yes.100","Pencil Holder","consistent.Consistent.Yes.100","Pencil Holder","consistent.Consistent.Yes.100","Drinking Fountain","basic.Inconsistent.No.100","Fence","super.Inconsistent.No.100","Pencil Holder","consistent.Consistent.No.100","Pencil Holder","consistent.Consistent.No.100"
"43","corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","Floor Lamp","basic.Inconsistent.Yes.150","Lighthouse","super.Inconsistent.Yes.150","Fire Extinguisher","consistent.Consistent.Yes.150","Fire Extinguisher","consistent.Consistent.Yes.150","Calculator","basic.Inconsistent.No.150","Tractor","super.Inconsistent.No.150","Fire Extinguisher","consistent.Consistent.No.150","Fire Extinguisher","consistent.Consistent.No.150","Fishing Rod","super.Inconsistent.Yes.50","Picnic Table","super.Inconsistent.Yes.50","Fire Extinguisher","consistent.Consistent.Yes.50","Fire Extinguisher","consistent.Consistent.Yes.50","Crayons","basic.Inconsistent.No.50","Windmill","super.Inconsistent.No.50","Fire Extinguisher","consistent.Consistent.No.50","Fire Extinguisher","consistent.Consistent.No.50","Oven Mitts","basic.Inconsistent.Yes.100","Flag Pole","super.Inconsistent.Yes.100","Fire Extinguisher","consistent.Consistent.Yes.100","Fire Extinguisher","consistent.Consistent.Yes.100","Razor","basic.Inconsistent.No.100","Road Work Sign","super.Inconsistent.No.100","Fire Extinguisher","consistent.Consistent.No.100","Fire Extinguisher","consistent.Consistent.No.100"
"1","basketball_net.jpg","Bench","Playground","Human","Outdoors","Crosswalk","basic.Inconsistent.Yes.150","Stand Mixer","super.Inconsistent.Yes.150","Bench","consistent.Consistent.Yes.150","Bench","consistent.Consistent.Yes.150","Bicycle","basic.Inconsistent.No.150","Pan","super.Inconsistent.No.150","Bench","consistent.Consistent.No.150","Bench","consistent.Consistent.No.150","Surfboard","basic.Inconsistent.Yes.50","Shower Head","super.Inconsistent.Yes.50","Bench","consistent.Consistent.Yes.50","Bench","consistent.Consistent.Yes.50","Radio Tower","basic.Inconsistent.No.50","Pan","super.Inconsistent.No.50","Bench","consistent.Consistent.No.50","Bench","consistent.Consistent.No.50","Hay Bale","basic.Inconsistent.Yes.100","Notebook","super.Inconsistent.Yes.100","Bench","consistent.Consistent.Yes.100","Bench","consistent.Consistent.Yes.100","Bus Stop Shelter","basic.Inconsistent.No.100","Notebook","super.Inconsistent.No.100","Bench","consistent.Consistent.No.100","Bench","consistent.Consistent.No.100"
"115","Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","Bus Stop Shelter","basic.Inconsistent.Yes.150","Fork","super.Inconsistent.Yes.150","Parking Meter","consistent.Consistent.Yes.150","Parking Meter","consistent.Consistent.Yes.150","Bus Stop Shelter","basic.Inconsistent.No.150","Plunger","super.Inconsistent.No.150","Parking Meter","consistent.Consistent.No.150","Parking Meter","consistent.Consistent.No.150","Stop Sign","basic.Inconsistent.Yes.50","Notebook","super.Inconsistent.Yes.50","Parking Meter","consistent.Consistent.Yes.50","Parking Meter","consistent.Consistent.Yes.50","Farmhouse","basic.Inconsistent.No.50","Stapler","super.Inconsistent.No.50","Parking Meter","consistent.Consistent.No.50","Parking Meter","consistent.Consistent.No.50","Stop Sign","basic.Inconsistent.Yes.100","Stand Mixer","super.Inconsistent.Yes.100","Parking Meter","consistent.Consistent.Yes.100","Parking Meter","consistent.Consistent.Yes.100","Lifeguard Tower","basic.Inconsistent.No.100","Printer","super.Inconsistent.No.100","Parking Meter","consistent.Consistent.No.100","Parking Meter","consistent.Consistent.No.100"
"25","class3.jpg","Notebook","Classroom","Public","Indoors","Trash Bags","super.Inconsistent.Yes.150","Notebook","consistent.Consistent.Yes.150","Notebook","consistent.Consistent.Yes.150","Laptop","basic.Inconsistent.No.150","Swing Set","super.Inconsistent.No.150","Notebook","consistent.Consistent.No.150","Notebook","consistent.Consistent.No.150","Nightstand","basic.Inconsistent.Yes.50","Picnic Table","super.Inconsistent.Yes.50","Notebook","consistent.Consistent.Yes.50","Notebook","consistent.Consistent.Yes.50","Alarm Clock","basic.Inconsistent.No.50","Picnic Table","super.Inconsistent.No.50","Notebook","consistent.Consistent.No.50","Notebook","consistent.Consistent.No.50","Coffee Maker","basic.Inconsistent.Yes.100","Sandbox","super.Inconsistent.Yes.100","Notebook","consistent.Consistent.Yes.100","Notebook","consistent.Consistent.Yes.100","Drinking Fountain","basic.Inconsistent.No.100","Log Cabin","super.Inconsistent.No.100","Notebook","consistent.Consistent.No.100","Notebook","consistent.Consistent.No.100","Apron","basic.Inconsistent.Yes.150"
"91","office10.jpg","Stapler","Office","Public","Indoors","Buoy","super.Inconsistent.Yes.150","Stapler","consistent.Consistent.Yes.150","Stapler","consistent.Consistent.Yes.150","Billboard","super.Inconsistent.No.150","Fishing Rod","super.Inconsistent.No.150","Stapler","consistent.Consistent.No.150","Stapler","consistent.Consistent.No.150","Rock","super.Inconsistent.Yes.50","Farmhouse","super.Inconsistent.Yes.50","Stapler","consistent.Consistent.Yes.50","Stapler","consistent.Consistent.Yes.50","Fire Extinguisher","basic.Inconsistent.No.50","Hay Bale","super.Inconsistent.No.50","Stapler","consistent.Consistent.No.50","Stapler","consistent.Consistent.No.50","Knife","basic.Inconsistent.Yes.100","Crosswalk","super.Inconsistent.Yes.100","Stapler","consistent.Consistent.Yes.100","Stapler","consistent.Consistent.Yes.100","Bench","super.Inconsistent.No.100","Traffic Light","super.Inconsistent.No.100","Stapler","consistent.Consistent.No.100","Stapler","consistent.Consistent.No.100","Fire Alarm","basic.Inconsistent.Yes.150"
"9","bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","Road Work Sign","super.Inconsistent.Yes.150","Laundry Hamper","consistent.Consistent.Yes.150","Laundry Hamper","consistent.Consistent.Yes.150","Exit Sign","basic.Inconsistent.No.150","Fishing Boat","super.Inconsistent.No.150","Laundry Hamper","consistent.Consistent.No.150","Laundry Hamper","consistent.Consistent.No.150","Paper Shredder","basic.Inconsistent.Yes.50","Rock","super.Inconsistent.Yes.50","Laundry Hamper","consistent.Consistent.Yes.50","Laundry Hamper","consistent.Consistent.Yes.50","Swing Set","super.Inconsistent.No.50","Bicycle","super.Inconsistent.No.50","Laundry Hamper","consistent.Consistent.No.50","Laundry Hamper","consistent.Consistent.No.50","Armchair Recliner","basic.Inconsistent.Yes.100","Tractor","super.Inconsistent.Yes.100","Laundry Hamper","consistent.Consistent.Yes.100","Laundry Hamper","consistent.Consistent.Yes.100","Pencil Holder","basic.Inconsistent.No.100","Trash Bags","super.Inconsistent.No.100","Laundry Hamper","consistent.Consistent.No.100","Laundry Hamper","consistent.Consistent.No.100","Toaster","basic.Inconsistent.Yes.150"
"80","living6.jpg","Vase","Living Room","Private","Indoors","Swing Set","super.Inconsistent.Yes.150","Vase","consistent.Consistent.Yes.150","Vase","consistent.Consistent.Yes.150","Surfboard","super.Inconsistent.No.150","Sandbox","super.Inconsistent.No.150","Vase","consistent.Consistent.No.150","Vase","consistent.Consistent.No.150","Fire Extinguisher","basic.Inconsistent.Yes.50","Utility Pole","super.Inconsistent.Yes.50","Vase","consistent.Consistent.Yes.50","Vase","consistent.Consistent.Yes.50","Plate","basic.Inconsistent.No.50","Flag Pole","super.Inconsistent.No.50","Vase","consistent.Consistent.No.50","Vase","consistent.Consistent.No.50","Pencil Holder","basic.Inconsistent.Yes.100","Swing Set","super.Inconsistent.Yes.100","Vase","consistent.Consistent.Yes.100","Vase","consistent.Consistent.Yes.100","Wheelbarrow","super.Inconsistent.No.100","Bird Bath","super.Inconsistent.No.100","Vase","consistent.Consistent.No.100","Vase","consistent.Consistent.No.100","Paper Shredder","basic.Inconsistent.Yes.150"
"98","opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","Candle","super.Inconsistent.Yes.150","Pitchfork","consistent.Consistent.Yes.150","Pitchfork","consistent.Consistent.Yes.150","Wildflower","basic.Inconsistent.No.150","Apron","super.Inconsistent.No.150","Pitchfork","consistent.Consistent.No.150","Pitchfork","consistent.Consistent.No.150","Buoy","basic.Inconsistent.Yes.50","Rolling Pin","super.Inconsistent.Yes.50","Pitchfork","consistent.Consistent.Yes.50","Pitchfork","consistent.Consistent.Yes.50","Seesaw","basic.Inconsistent.No.50","Paper Shredder","super.Inconsistent.No.50","Pitchfork","consistent.Consistent.No.50","Pitchfork","consistent.Consistent.No.50","Axe","basic.Inconsistent.Yes.100","Pencil Case","super.Inconsistent.Yes.100","Pitchfork","consistent.Consistent.Yes.100","Pitchfork","consistent.Consistent.Yes.100","Axe","basic.Inconsistent.No.100","Rolling Pin","super.Inconsistent.No.100","Pitchfork","consistent.Consistent.No.100","Pitchfork","consistent.Consistent.No.100","Birdhouse","basic.Inconsistent.Yes.150"
"15","brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","Bird Bath","consistent.Consistent.Yes.150","Bird Bath","consistent.Consistent.Yes.150","Axe","basic.Inconsistent.No.150","Fire Extinguisher","super.Inconsistent.No.150","Bird Bath","consistent.Consistent.No.150","Bird Bath","consistent.Consistent.No.150","Axe","basic.Inconsistent.Yes.50","Phone Set","super.Inconsistent.Yes.50","Bird Bath","consistent.Consistent.Yes.50","Bird Bath","consistent.Consistent.Yes.50","Feeding Trough","basic.Inconsistent.No.50","Yield Sign","basic.Inconsistent.No.50","Bird Bath","consistent.Consistent.No.50","Bird Bath","consistent.Consistent.No.50","Phone Set","super.Inconsistent.Yes.100","Projector","super.Inconsistent.Yes.100","Bird Bath","consistent.Consistent.Yes.100","Bird Bath","consistent.Consistent.Yes.100","Wheelbarrow","basic.Inconsistent.No.100","Coffee Maker","super.Inconsistent.No.100","Bird Bath","consistent.Consistent.No.100","Bird Bath","consistent.Consistent.No.100","Beach Towel","basic.Inconsistent.Yes.150","Textbook","super.Inconsistent.Yes.150"
"16","briefcase.jpg","Printer","Office","Public","Indoors","Printer","consistent.Consistent.Yes.150","Printer","consistent.Consistent.Yes.150","Vacuum Cleaner","basic.Inconsistent.No.150","Axe","super.Inconsistent.No.150","Printer","consistent.Consistent.No.150","Printer","consistent.Consistent.No.150","Knife","basic.Inconsistent.Yes.50","Farmhouse","super.Inconsistent.Yes.50","Printer","consistent.Consistent.Yes.50","Printer","consistent.Consistent.Yes.50","Alarm Clock","basic.Inconsistent.No.50","Buoy","super.Inconsistent.No.50","Printer","consistent.Consistent.No.50","Printer","consistent.Consistent.No.50","Backpack","basic.Inconsistent.Yes.100","Bicycle","super.Inconsistent.Yes.100","Printer","consistent.Consistent.Yes.100","Printer","consistent.Consistent.Yes.100","Nightstand","basic.Inconsistent.No.100","Rock","super.Inconsistent.No.100","Printer","consistent.Consistent.No.100","Printer","consistent.Consistent.No.100","Coffee Maker","basic.Inconsistent.Yes.150","Seesaw","super.Inconsistent.Yes.150"
"18","child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","Teddy Bear","consistent.Consistent.Yes.150","Teddy Bear","consistent.Consistent.Yes.150","Tape Dispenser","basic.Inconsistent.No.150","Utility Pole","super.Inconsistent.No.150","Teddy Bear","consistent.Consistent.No.150","Teddy Bear","consistent.Consistent.No.150","Blender","basic.Inconsistent.Yes.50","Surfboard","super.Inconsistent.Yes.50","Teddy Bear","consistent.Consistent.Yes.50","Teddy Bear","consistent.Consistent.Yes.50","Baking Tray","basic.Inconsistent.No.50","Farmhouse","super.Inconsistent.No.50","Teddy Bear","consistent.Consistent.No.50","Teddy Bear","consistent.Consistent.No.50","Ottoman","basic.Inconsistent.Yes.100","Radio Tower","super.Inconsistent.Yes.100","Teddy Bear","consistent.Consistent.Yes.100","Teddy Bear","consistent.Consistent.Yes.100","Ottoman","basic.Inconsistent.No.100","Fire Hydrant","super.Inconsistent.No.100","Teddy Bear","consistent.Consistent.No.100","Teddy Bear","consistent.Consistent.No.100","Plate","basic.Inconsistent.Yes.150","Surfboard","super.Inconsistent.Yes.150"
"116","urbanstreet1.jpg","Newspaper Box","Urban Street","Human","Outdoors","Newspaper Box","consistent.Consistent.Yes.150","Newspaper Box","consistent.Consistent.Yes.150","Parking Meter","basic.Inconsistent.No.150","Wheelbarrow","basic.Inconsistent.No.150","Newspaper Box","consistent.Consistent.No.150","Newspaper Box","consistent.Consistent.No.150","Notebook","super.Inconsistent.Yes.50","Fire Alarm","super.Inconsistent.Yes.50","Newspaper Box","consistent.Consistent.Yes.50","Newspaper Box","consistent.Consistent.Yes.50","Bench","basic.Inconsistent.No.50","Soap Bar","super.Inconsistent.No.50","Newspaper Box","consistent.Consistent.No.50","Newspaper Box","consistent.Consistent.No.50","Yield Sign","basic.Inconsistent.Yes.100","Paper Shredder","super.Inconsistent.Yes.100","Newspaper Box","consistent.Consistent.Yes.100","Newspaper Box","consistent.Consistent.Yes.100","Seesaw","basic.Inconsistent.No.100","Comforter Blanket","super.Inconsistent.No.100","Newspaper Box","consistent.Consistent.No.100","Newspaper Box","consistent.Consistent.No.100","Fence","basic.Inconsistent.Yes.150","Vacuum Cleaner","super.Inconsistent.Yes.150"
"120","urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","Bus Stop Shelter","consistent.Consistent.Yes.150","Bus Stop Shelter","consistent.Consistent.Yes.150","Picture Frame","super.Inconsistent.No.150","Apron","super.Inconsistent.No.150","Bus Stop Shelter","consistent.Consistent.No.150","Bus Stop Shelter","consistent.Consistent.No.150","Parking Meter","basic.Inconsistent.Yes.50","Rocking Chair","super.Inconsistent.Yes.50","Bus Stop Shelter","consistent.Consistent.Yes.50","Bus Stop Shelter","consistent.Consistent.Yes.50","Bird Nest","basic.Inconsistent.No.50","Laptop","super.Inconsistent.No.50","Bus Stop Shelter","consistent.Consistent.No.50","Bus Stop Shelter","consistent.Consistent.No.50","Coffee Maker","super.Inconsistent.Yes.100","Laptop","super.Inconsistent.Yes.100","Bus Stop Shelter","consistent.Consistent.Yes.100","Bus Stop Shelter","consistent.Consistent.Yes.100","Fence","basic.Inconsistent.No.100","Floor Lamp","super.Inconsistent.No.100","Bus Stop Shelter","consistent.Consistent.No.100","Bus Stop Shelter","consistent.Consistent.No.100","Motorcycle","basic.Inconsistent.Yes.150","Fishing Boat","basic.Inconsistent.Yes.150"
"52","fan.jpg","Calculator","Office","Public","Indoors","Calculator","consistent.Consistent.Yes.150","Napkin","basic.Inconsistent.No.150","Laptop","basic.Inconsistent.No.150","Calculator","consistent.Consistent.No.150","Calculator","consistent.Consistent.No.150","Spoon","basic.Inconsistent.Yes.50","Pitchfork","super.Inconsistent.Yes.50","Calculator","consistent.Consistent.Yes.50","Calculator","consistent.Consistent.Yes.50","Baking Tray","basic.Inconsistent.No.50","Motorcycle","super.Inconsistent.No.50","Calculator","consistent.Consistent.No.50","Calculator","consistent.Consistent.No.50","Vase","basic.Inconsistent.Yes.100","Horse Carriage","super.Inconsistent.Yes.100","Calculator","consistent.Consistent.Yes.100","Calculator","consistent.Consistent.Yes.100","Spoon","basic.Inconsistent.No.100","Notebook","basic.Inconsistent.No.100","Calculator","consistent.Consistent.No.100","Calculator","consistent.Consistent.No.100","Laundry Hamper","basic.Inconsistent.Yes.150","Axe","super.Inconsistent.Yes.150","Calculator","consistent.Consistent.Yes.150"
"89","Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","Fishing Boat","consistent.Consistent.Yes.150","Traffic Light","basic.Inconsistent.No.150","Armchair Recliner","super.Inconsistent.No.150","Fishing Boat","consistent.Consistent.No.150","Fishing Boat","consistent.Consistent.No.150","Road Work Sign","basic.Inconsistent.Yes.50","Toilet Paper","super.Inconsistent.Yes.50","Fishing Boat","consistent.Consistent.Yes.50","Fishing Boat","consistent.Consistent.Yes.50","Subway Station Sign","basic.Inconsistent.No.50","Blender","super.Inconsistent.No.50","Fishing Boat","consistent.Consistent.No.50","Fishing Boat","consistent.Consistent.No.50","Telephone Booth","basic.Inconsistent.Yes.100","Vacuum Cleaner","super.Inconsistent.Yes.100","Fishing Boat","consistent.Consistent.Yes.100","Fishing Boat","consistent.Consistent.Yes.100","Traffic Light","basic.Inconsistent.No.100","Vase","super.Inconsistent.No.100","Fishing Boat","consistent.Consistent.No.100","Fishing Boat","consistent.Consistent.No.100","Flag Pole","basic.Inconsistent.Yes.150","Sticky Notes","super.Inconsistent.Yes.150","Fishing Boat","consistent.Consistent.Yes.150"
"6","bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","Soap Bar","consistent.Consistent.Yes.150","Candle","basic.Inconsistent.No.150","Laundry Hamper","basic.Inconsistent.No.150","Soap Bar","consistent.Consistent.No.150","Soap Bar","consistent.Consistent.No.150","Ottoman","basic.Inconsistent.Yes.50","Rocking Chair","basic.Inconsistent.Yes.50","Soap Bar","consistent.Consistent.Yes.50","Soap Bar","consistent.Consistent.Yes.50","Projector Screen","basic.Inconsistent.No.50","Yield Sign","super.Inconsistent.No.50","Soap Bar","consistent.Consistent.No.50","Soap Bar","consistent.Consistent.No.50","TV Remote","basic.Inconsistent.Yes.100","Lawn Mower","super.Inconsistent.Yes.100","Soap Bar","consistent.Consistent.Yes.100","Soap Bar","consistent.Consistent.Yes.100","Dresser","basic.Inconsistent.No.100","Souvenir Stand","super.Inconsistent.No.100","Soap Bar","consistent.Consistent.No.100","Soap Bar","consistent.Consistent.No.100","Dresser","basic.Inconsistent.Yes.150","Birdhouse","super.Inconsistent.Yes.150","Soap Bar","consistent.Consistent.Yes.150"
"30","coast10.jpg","Surfboard","Coast","Natural","Outdoors","Surfboard","consistent.Consistent.Yes.150","Subway Station Sign","basic.Inconsistent.No.150","Pencil Holder","super.Inconsistent.No.150","Surfboard","consistent.Consistent.No.150","Surfboard","consistent.Consistent.No.150","Trash Bags","basic.Inconsistent.Yes.50","Vacuum Cleaner","super.Inconsistent.Yes.50","Surfboard","consistent.Consistent.Yes.50","Surfboard","consistent.Consistent.Yes.50","Taxi","basic.Inconsistent.No.50","Knife","super.Inconsistent.No.50","Surfboard","consistent.Consistent.No.50","Surfboard","consistent.Consistent.No.50","Newspaper Box","basic.Inconsistent.Yes.100","Notebook","super.Inconsistent.Yes.100","Surfboard","consistent.Consistent.Yes.100","Surfboard","consistent.Consistent.Yes.100","Historic Plaque","basic.Inconsistent.No.100","Phone Set","super.Inconsistent.No.100","Surfboard","consistent.Consistent.No.100","Surfboard","consistent.Consistent.No.100","Kayak","basic.Inconsistent.Yes.150","Television","super.Inconsistent.Yes.150","Surfboard","consistent.Consistent.Yes.150"
"60","forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","Toadstool Mushroom","consistent.Consistent.Yes.150","Souvenir Stand","basic.Inconsistent.No.150","Vase","super.Inconsistent.No.150","Toadstool Mushroom","consistent.Consistent.No.150","Toadstool Mushroom","consistent.Consistent.No.150","Traffic Light","basic.Inconsistent.Yes.50","Stapler","super.Inconsistent.Yes.50","Toadstool Mushroom","consistent.Consistent.Yes.50","Toadstool Mushroom","consistent.Consistent.Yes.50","Crosswalk","basic.Inconsistent.No.50","Pencil Holder","super.Inconsistent.No.50","Toadstool Mushroom","consistent.Consistent.No.50","Toadstool Mushroom","consistent.Consistent.No.50","Crosswalk","basic.Inconsistent.Yes.100","Pan","super.Inconsistent.Yes.100","Toadstool Mushroom","consistent.Consistent.Yes.100","Toadstool Mushroom","consistent.Consistent.Yes.100","Newspaper Box","basic.Inconsistent.No.100","Laptop","super.Inconsistent.No.100","Toadstool Mushroom","consistent.Consistent.No.100","Toadstool Mushroom","consistent.Consistent.No.100","Beach Towel","basic.Inconsistent.Yes.150","Bowl","super.Inconsistent.Yes.150","Toadstool Mushroom","consistent.Consistent.Yes.150"
